City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Geraldton,AU,2022-09-12 19:46:49,-28.7667,114.6,63.01,77,75,14.97
272,La Ronge,CA,2022-09-12 19:46:49,55.1001,-105.2842,62.82,38,75,11.5
273,Yulara,AU,2022-09-12 19:47:50,-25.2406,130.9889,58.77,62,0,10.04
274,Prainha,BR,2022-09-12 19:47:50,-1.8,-53.48,91.27,43,40,1.86
275,Abnub,EG,2022-09-12 19:47:50,27.2696,31.1511,84.42,33,0,6.82
276,Khuzdar,PK,2022-09-12 19:44:29,27.7384,66.6434,74.91,56,87,3.78
277,Pandamatenga,BW,2022-09-12 19:47:51,-18.5278,25.627,72.07,17,0,4.18
278,Faya,SA,2022-09-12 19:47:51,18.3851,42.4509,75.31,25,79,8.52
279,Burnie,AU,2022-09-12 19:47:51,-41.0667,145.9167,33.94,80,4,5.77
280,Beringovskiy,RU,2022-09-12 19:47:52,63.05,179.3167,44.65,65,30,19.3
281,Barcelos,PT,2022-09-12 19:47:52,41.5388,-8.6151,71.85,87,100,9.42
282,Algiers,DZ,2022-09-12 19:47:52,36.7525,3.042,84.02,54,0,3.44
283,Port-Gentil,GA,2022-09-12 19:47:53,-0.7193,8.7815,75.79,83,41,14.16
284,Talcahuano,CL,2022-09-12 19:45:16,-36.7167,-73.1167,56.88,54,75,9.22
285,Faro,PT,2022-09-12 19:45:29,37.0194,-7.9322,69.19,100,75,14.97
286,Pangnirtung,CA,2022-09-12 19:47:53,66.1451,-65.7125,50.0,81,75,3.44
287,Svetlaya,RU,2022-09-12 19:47:54,46.5389,138.3297,59.43,82,8,5.3
288,San Patricio,US,2022-09-12 19:47:54,28.017,-97.5169,93.15,41,14,5.1
289,Jizan,SA,2022-09-12 19:47:54,17.3333,42.6667,90.54,59,10,5.03
290,Opuwo,NA,2022-09-12 19:47:55,-18.0607,13.84,71.85,18,1,3.67
291,Springfield,US,2022-09-12 19:46:18,37.2153,-93.2982,82.11,39,0,12.66
292,Soe,ID,2022-09-12 19:47:55,-9.8607,124.284,61.77,87,52,4.21
293,Gazli,UZ,2022-09-12 19:47:55,40.1333,63.45,64.11,30,0,13.11
